,Tweet ID, User ID, Bullying_Traces?, Type, Form, Teasing?, Author_Role, Emotion,Text
700,101504460248989698,42600837,n,,,,,,No bigger pricks on the road than those who bully flustered L platers by tooting and tailgating. #gutlesswonders
701,103887409418223616,38043850,n,,,,,,"sofrendo ""bullying"" no trabalho só porque descobriram que sou louca por @ashleytisdale e @ddlovato ... tenho 19 anos e gosto mesmo, E DAI???"
702,104347739097272323,127153575,n,,,,,,#mtvGaga what advice would you give a monster who's being bullied? And how to end it(:
703,104579396190474240,89721062,n,,,,,,"Esperando a Thais terminar de comer e depois oficina sobre bulling, por causa da babaca da eliça"
704,105441638792433664,314291608,n,,,,,,
705,105748775804469248,212801021,n,,,,,,
706,106145531348267008,259798008,n,,,,,,Não é bullying se eu jogar um tijolo na sua cara e fingir que estava brincando de pedreiro. http://t.co/TLLY08s
707,100962303184338944,197506766,n,,,,,,
708,102214986465681408,83543989,n,,,,,,#FF para @maar27  mi compañera de #bullying con #NinelConde jajajajajaja y xq me divierteee un chiorrooo chismear con ella :P
709,109086341849030656,244369556,n,,,,,,"@sarinhacoral @Victor_Maggi tadinhu de mim , sofrendo bulling viu MIMI'"
710,102459163208204288,105815996,n,,,,,,That awkward moment when you realise your dad used to bully Snape. #Awkward #HarryPotter
711,105591610502422528,308198315,n,,,,,,
712,106413159383965697,46018835,n,,,,,,
713,107608458337071104,190310008,n,,,,,,
714,100607317552267264,15379873,y,self-disclosure,cyberbullying,n,bully,none,"@brandonjcarr yeah. I'm a social disaster. No talking to people. High fives, tweet-bullying and free sketches. Thats it."
715,104291846452285440,57322324,y,report,other,n,reporter,none,
716,104671804261543936,134905562,n,,,,,,"Diego me humilhando no eme, vou dar um print e denunciar por bulling . é"
717,107304989298393088,108556210,y,self-disclosure,verbal,y,defender,none,@TheJordaneers oi dont call him a dork ya bully :oP
718,101355390737973248,122854400,n,,,,,,
719,101357276404789248,214279710,n,,,,,,
720,105503621281611777,330090832,y,report,physical,y,reporter,none,Mariah over here beating up the cat...lol#bully
721,106605537478721536,54610764,n,,,,,,"Nowadays, #america jus be bullying for oil, that's #bushs fault tho, but we losing the war cuz of it"
722,101707551346925569,136360376,n,,,,,,
723,104204899134353408,90850151,n,,,,,,@andreapinorojas @sergyop Ya salen los magallánicos y su bullying. Para nosotros si es nieve…yo soy de La Serena y si es nieve ajaja
724,104639058256465921,46822887,n,,,,,,“Thirsty Vagina Warriors is the name of my new girl band. My old girl band -- Bully Pulpit and the Trial Balloons -- broke up.”
725,106226651477708801,129621181,n,,,,,,sitting here crying watching #cyberbully lol im pathetic #judgeme
726,108713417606561792,38910135,n,,,,,,
727,100960576779456513,164224732,n,,,,,,Thank u all so much for the comments and support for our Anti-Bullying Awareness Campaign www.ispcc.ie
728,101690539421863936,86962123,n,,,,,,Photo: Não é bullying se ele usa aquele reloginho que troca as pulseirinhas coloridas. http://tumblr.com/x3c418asdx
729,103190292026494976,20957347,y,self-disclosure,other,n,victim,sadness,
730,105784560352108544,64480902,n,,,,,,Otra más de las consecuencias de una sociedad que vive en #depresión es el #bullying #adondevamosaparar
731,106113866781560832,330523876,n,,,,,,"#NeverApologiseFor being an arrogant, bullying toerag. You'll both grow up and she'll marry you. Trust me."
732,108651944393969664,283743944,y,denial,other,n,bully,none,@youmadrene I was like mum shut the fuck up it's not bullying :')
733,101949348434284544,94912172,n,,,,,,#parents It takes Inner Strength to stand up on the issue of #school Bullying..but share that strength and pass it around 4 students.
734,103577270043688960,110555902,n,,,,,,
735,103998015513165826,151136369,n,,,,,,
736,104374868975431681,64909297,n,,,,,,mira bully @bullysteria http://t.co/6g5NyAD
737,108529233864826881,250035569,n,,,,,,@VIPlovesBigBang iya min ! Jgn bully kami lagi ya ! Kami udah hidup bahagia ! Hiks *lap ingus ke mohawk*
738,101452744392572928,53468857,n,,,,,,"@leticiark_ UHSAUHSUHUAHSUHSUAHA, otima ideia, eu tava pensando em pagar,mais bullying é bem mais facil, não gasto dinheiro hsuahsuhaushuah"
739,102115692576391168,57026075,y,self-disclosure,other,n,victim,anger,
740,107648781767544832,19555901,n,,,,,,Vitor. O japa foi mais forte que voce. #bullying
741,108003520208322560,40494602,n,,,,,,
742,101423712649216000,282812306,n,,,,,,agora qualquer coisa é bullying respirar é bullying viver é bullying acordar é bullying falar a verdade é bullying
743,105419676720439297,56526010,n,,,,,,Servidor é demitido por postar piada sobre Dilma em Twitter http://t.co/Vwhh0VQ #folha Mais de 50% dos bras. fazem bulling com a Dilma rssss
744,105767187247136768,54990349,n,,,,,,
745,106382369937825792,233635512,n,,,,,,"Seen bullying yet this year. Here are some tips for stopping it, for you and your kid. http://t.co/MV3l6Ap #fb"
746,106933285317394432,81856030,n,,,,,,"#flashback dulu TK udah sering di bully-___-"""
747,107101253061984256,99993914,n,,,,,,As Real As It Gets: Bullying Victims Can Fight Back With Help From Brazilian Jiu-Jitsu Royalty | The http://t.co/UVRs24v
748,101862887135518720,288985838,y,report,other,n,reporter,none,
749,106263744774021120,28185353,n,,,,,,
750,100296231934377989,276556592,y,denial,other,n,bully,none,
751,100985753965838336,138176966,n,,,,,,@celiasvn tudo bem gatona? *-* cadê você no msn pro bullying d'osamô? :/ tá no trampo? :O
752,101968744955383808,347777843,n,,,,,,What to do when your kid's the bully http://dld.bz/zPhS
753,104162213962592256,100399532,n,,,,,,
754,106493122346885121,166657245,n,,,,,,
755,108644612293402625,177298266,n,,,,,,
756,100284231414054912,240423088,n,,,,,,"Minha Dash ta cheia de foto de gente bonita, isso dai é bullying. http://tumblr.com/xmx3ydvkwr"
757,100701601412554753,241364909,n,,,,,,"Hj no curso eu sofri bulling, o professor tiro foto nossa USHAUSHAUHSUA"
758,101384235759308800,41449282,n,,,,,,
759,103999868032385024,52172089,y,accusation,other,n,accuser,none,
760,106065830579666945,51367032,n,,,,,,@joyceff @RafaelSouza12 @AhNegao PS: isso não é bullying ^^
761,106287565178548224,33273844,y,accusation,other,y,accuser,none,
762,108739713350897665,52523494,n,,,,,,
763,108794948492591104,323204717,n,,,,,,
764,102328276634173441,57869243,n,,,,,,Rebecca Black Quits Middle School After Bullying (Mashable) http://t.co/cKMwFPK
765,104104297800794112,37067700,n,,,,,,I hate when the smallest bitches try to bully the big girls O_o. U sure u wanna ride tht ride?
766,107083440184238080,185622629,n,,,,,,
767,108165545135837185,81477506,n,,,,,,
768,108228194213179393,126803250,n,,,,,,bully beatdown is so fluke ........................ lol niggas be tapping out fast as shit
769,101485692563099648,323209139,n,,,,,,"Officials, teachers, students discuss bullying in Hartford - Meriden Record-Journal http://t.co/UCeTr4i"
770,107289676553007104,39083471,n,,,,,,"i hate it when people get bullied, makes me so sad :'("
771,104578777341894659,97397561,n,,,,,,"@meiswanchung kampretkampretkampreettt saann *kesenengan ,eheheh tweet lu yg tdi apus san,biar tdk ada yg tau,klo lu mau bully dia,hahhaa!"
772,106903776950108160,139418776,n,,,,,,
773,107914659474059264,219282111,n,,,,,,"1 palavra , 8 letras e um significado : Bullying '='"
774,108348059657838592,343919654,y,self-disclosure,other,y,bully,none,Spending the last 2 days in Edmonds has made me so nostalgic. I miss when all 6 of us lived under one roof and bullied eachother #goodtimes
