,Tweet ID, User ID, Bullying_Traces?, Type, Form, Teasing?, Author_Role, Emotion
2800,106539587710615552,53217377,n,,,,,
2801,107263679891906561,347443947,n,,,,,
2802,107892662224420865,43526607,y,self-disclosure,other,n,victim,sadness
2803,103296794640912385,55399885,n,,,,,
2804,103580204793999361,29874691,n,,,,,
2805,106908516266151938,48660296,y,self-disclosure,other,y,defender,none
2806,107506028274401280,97024109,n,,,,,
2807,100989177641971712,344870581,y,self-disclosure,other,n,defender,none
2808,104572430147792896,193750851,n,,,,,
2809,104652172150579200,340572960,y,accusation,other,y,accuser,none
2810,101458744692584448,257715630,y,self-disclosure,other,y,victim,none
2811,102089285120958464,27966103,y,report,other,n,reporter,anger
2812,108485470874386433,254986991,n,,,,,
2813,101394817057173505,77334380,y,report,other,n,reporter,none
2814,101754615976034304,285819058,y,self-disclosure,other,y,bully,none
2815,104759578012561408,134163380,n,,,,,
2816,106086596352278528,162266736,n,,,,,
2817,107053329758171136,177665165,y,denial,other,n,bully,none
2818,107195526373580800,167954095,y,accusation,other,n,accuser,none
2819,107947264781197312,75755585,n,,,,,
2820,101804236983115776,278271987,n,,,,,
2821,101865886155157504,30385487,y,report,other,n,reporter,none
2822,102209565466181633,53227456,n,,,,,
2823,102903484508143616,84608267,y,accusation,other,n,accuser,none
2824,103150271928086529,229960447,n,,,,,
2825,103578216656158720,51446999,n,,,,,
2826,104588134762807296,73958884,n,,,,,
2827,106047251037700096,45226634,n,,,,,
2828,106650619917516800,202756049,n,,,,,
2829,108208006918963200,284492891,n,,,,,
2830,103442472172138496,86271051,n,,,,,
2831,103644697469259777,30214532,n,,,,,
2832,103861278866554881,276814674,n,,,,,
2833,105644005051731968,293437435,y,self-disclosure,other,n,victim,none
2834,108635145317265408,305868332,y,accusation,physical,y,accuser,none
2835,104352716012257281,25718645,y,report,other,n,reporter,none
2836,105010055526625280,54626683,y,report,other,n,reporter,none
2837,100268889220460546,217595286,n,,,,,
2838,101009928508030977,32867072,n,,,,,
2839,103860498759565312,255170132,n,,,,,
2840,107486346251206657,181343397,n,,,,,
2841,109017449457909761,38240134,n,,,,,
2842,105093680322445312,335718605,y,report,other,y,reporter,none
2843,101739358276689920,79787592,y,accusation,other,n,accuser,none
2844,102948790637568000,307708981,y,accusation,other,n,accuser,none
2845,104363910198599682,252294808,n,,,,,
