,Tweet ID, User ID, Bullying_Traces?, Type, Form, Teasing?, Author_Role, Emotion
4200,101852977303785472,271560552,n,,,,,
4201,104592730944049153,19899404,y,report,other,n,reporter,none
4202,105753646851047424,137322787,y,self-disclosure,other,n,victim,none
4203,106127681879408640,69864568,n,,,,,
4204,108678798257557505,45985597,n,,,,,
4205,100215228830203904,779451,n,,,,,
4206,102841710379405312,26326498,n,,,,,
4207,107269940737871872,317908951,n,,,,,
4208,107611794570346498,127632007,n,,,,,
4209,104930980661428228,276576112,n,,,,,
4210,106165760954597376,346111304,n,,,,,
4211,100384407923339264,16537302,n,,,,,
4212,100969189447184384,337432885,n,,,,,
4213,106055824597712896,72666000,n,,,,,
4214,108010013603270658,211045703,n,,,,,
4215,108657594587037697,186004625,n,,,,,
4216,106056263070265344,37034136,n,,,,,
4217,108738350759952384,193943631,y,denial,other,n,bully,none
4218,103143487255490560,39169848,n,,,,,
4219,104705531087831040,260353285,n,,,,,
4220,104751373232521216,235059570,n,,,,,
4221,105038024739536896,59943486,n,,,,,
4222,108552124157280256,179452558,n,,,,,
4223,108626171314442240,362222091,n,,,,,
4224,108782344881717248,106786745,n,,,,,
4225,100636070009511936,61306665,n,,,,,
4226,103530472457502720,251703993,n,,,,,
4227,103728177473531904,337378268,y,report,other,n,reporter,none
4228,104668310087532546,110863859,y,report,other,n,reporter,none
4229,105231345621544960,68361228,y,report,other,n,reporter,none
4230,107999403540873216,73240004,n,,,,,
4231,101625699537920001,217920074,y,accusation,other,n,accuser,anger
4232,104315456260812800,321852267,n,,,,,
4233,108904850288410624,88484394,y,report,other,n,reporter,none
4234,105864368629100545,326936495,y,self-disclosure,other,n,bully,none
4235,106177335862116352,203367131,n,,,,,
4236,106265817225768960,194768222,n,,,,,
4237,100637893231509504,167810862,n,,,,,
4238,103081640791785472,318342576,n,,,,,
4239,106042685525209088,139184361,n,,,,,
4240,106417187555782657,355714754,n,,,,,
4241,102075857539055616,291221757,n,,,,,
4242,102098294381084672,135355301,n,,,,,
4243,102227729113550849,65627144,n,,,,,
4244,103699873232203777,346038803,n,,,,,
4245,103874595924348929,354423086,y,report,other,n,reporter,none
4246,104645008115773440,293961200,n,,,,,
4247,107717527722934273,127201724,n,,,,,
4248,103461092071710720,205622840,n,,,,,
4249,105597522164191232,39715916,n,,,,,
4250,105822013725212672,63470501,n,,,,,
4251,108303171809587202,71571318,n,,,,,
4252,108930942743232512,84108183,n,,,,,
4253,101721869341831168,135972759,y,report,other,n,reporter,none
4254,106021327722385408,69085550,n,,,,,
4255,108364860710076416,359473918,y,self-disclosure,other,y,bully,none
4256,108655815883358208,72216250,n,,,,,
4257,108706861720682496,245288752,n,,,,,
4258,101420946115665920,22649341,n,,,,,
4259,104823250567180288,313969320,n,,,,,
4260,106135024625135616,247760809,n,,,,,
4261,103526682199195648,131862874,n,,,,,
4262,107297753641660416,287331182,y,report,other,n,reporter,none
4263,108180135320096769,335847547,n,,,,,
4264,101473863346552832,34128308,y,cyberbullying,verbal,n,assistant,none
4265,107870611937820672,340129529,y,self-disclosure,other,n,defender,none
4266,104328298280136704,295828989,n,,,,,
4267,105798577548304384,187329640,n,,,,,
4268,105944218878492672,52691205,y,self-disclosure,other,n,defender,none
4269,105439757949087744,7585602,n,,,,,
4270,106956959005147136,293185718,n,,,,,
4271,102747818191626242,125513969,y,report,other,n,reporter,none
4272,102548228645453824,206532799,y,report,other,y,reporter,none
4273,107279778452750336,184941424,n,,,,,
4274,109082059397541888,38812519,n,,,,,
4275,103872039961636865,192102376,y,report,cyberbullying,n,reporter,none
4276,103949916107309057,237453523,n,,,,,
4277,104326239631847424,263785873,n,,,,,
4278,104753200397172736,193935236,y,self-disclosure,verbal,n,bully,none
4279,105423505667014657,342892071,n,,,,,
4280,106849764921974785,20659719,n,,,,,
4281,108291726233448449,216122664,y,denial,other,n,bully,none
4282,102771030313021440,79792396,n,,,,,
4283,105015747813715968,280269879,y,report,cyberbullying,n,reporter,none
4284,105765451837079552,262389993,n,,,,,
4285,106030028831211520,34029398,y,report,other,n,reporter,none
4286,106070926398992384,50700053,n,,,,,
4287,106198587322540032,292594060,n,,,,,
4288,108910576322879489,256189824,n,,,,,
4289,106014155491917824,105018214,n,,,,,
4290,106900374438428673,133056535,n,,,,,
4291,104275211456757760,123401568,y,self-disclosure,other,n,defender,none
4292,107271667415384065,45380753,n,,,,,
4293,108573945149661184,264453376,n,,,,,
4294,108872029985443841,158644967,n,,,,,
4295,100226905806094337,111119580,n,,,,,
4296,102499846199590913,190132856,y,report,other,n,reporter,none
4297,102925636850556928,314903725,n,,,,,
4298,103699488207683585,256772789,y,denial,other,n,bully,none
4299,104619545238573056,40794453,n,,,,,
4300,106653433284669441,343112766,y,self-disclosure,other,n,defender,none
4301,107305882664177665,288432016,n,,,,,
4302,108151422981378048,21069391,n,,,,,
4303,108929946356944896,156246397,n,,,,,
4304,103460233560604672,327394839,n,,,,,
4305,103968997942366208,76480150,n,,,,,
4306,106407826968162304,251769334,n,,,,,
4307,106818223810420736,51155427,y,report,other,n,reporter,none
4308,100072408626638848,118136673,n,,,,,
4309,102791185231396864,131175226,y,self-disclosure,verbal,n,victim,none
4310,100624779488395264,44843790,y,report,other,n,reporter,none
4311,104021557030027264,239828384,n,,,,,
4312,105310089086377984,88509666,n,,,,,
4313,107869754785669121,184770854,y,self-disclosure,other,y,victim,none
4314,100965292062150656,249146027,n,,,,,
4315,103553630661128192,228130762,n,,,,,
4316,104690135320375297,347133639,n,,,,,
4317,103054846206283777,149079034,y,self-disclosure,other,n,victim,none
4318,106782769228685312,292474057,n,,,,,
4319,103549647284486144,318488882,n,,,,,
4320,106394069151911936,219329534,n,,,,,
4321,102589212209070080,71069588,y,report,other,n,reporter,none
4322,103484975696969728,32446524,n,,,,,
4323,106195070256029697,280175104,y,self-disclosure,other,n,victim,none
4324,100985591671435264,28392239,n,,,,,
4325,101019803996790784,131915787,n,,,,,
4326,103535968820277248,184764776,n,,,,,
4327,105703955182526464,303059730,n,,,,,
4328,105772165701443584,142380210,n,,,,,
4329,106038243128123392,141140702,n,,,,,
4330,107102639031992321,42685499,y,denial,other,n,bully,none
4331,107606475676991488,287736022,n,,,,,
4332,101338054660341760,109121169,y,self-disclosure,other,n,victim,none
4333,102576588402593792,172528161,n,,,,,
4334,109090901892149248,274524857,n,,,,,
4335,100608714393915392,40320220,n,,,,,
4336,106132535058235392,218183262,n,,,,,
4337,101713188126593024,299330710,y,accusation,other,y,accuser,none
4338,102428933919744001,75276574,n,,,,,
4339,103874507378405377,335847547,n,,,,,
