,Tweet ID, User ID, Bullying_Traces?, Type, Form, Teasing?, Author_Role, Emotion,Text
2100,104280768192315392,97349469,n,,,,,,Rihanna reveló que fue víctima de bullying http://t.co/TX94RBS
2101,104638406159646720,176882476,y,denial,other,n,bully,none,@I_josh_friend Im not a bully :\ :(
2102,108303986863509506,312753010,y,report,other,n,reporter,none,@BethPriceBish sammy kinda got bullied today:L ahaha!
2103,103157026892414977,205312652,n,,,,,,"I never had a bully though, smh #Tae"
2104,104675047255445504,249913746,n,,,,,,@intifada When bullying descends to these depths you know that evil exists in Zionist Israel
2105,106169938506555392,251880546,n,,,,,,
2106,106552340173172736,71388705,n,,,,,,
2107,107199605904650241,358396446,y,report,other,n,reporter,none,@kelly_o_b god I hope so!... His a vile person! What a nasty Bully
2108,102446983758884865,251101355,n,,,,,,
2109,102754519225606145,144178697,y,self-disclosure,other,n,victim,none,Girlfriend bullied me the whole day.
2110,106387128514129920,15672036,n,,,,,,"MT @tlanehudson If @m_rhee puts StudentsFirst, she must help stop bullying! 5yrs ago told SteinClub it wasnt important http://t.co/74liIdR"
2111,106519863568240641,189708381,n,,,,,,
2112,107922837972582400,165559221,n,,,,,,
2113,101679132546568193,94912172,n,,,,,,"#moms #dads  KEY word about #School Bullying Awareness, Prevention? INVOLVEMENT&gt; worth it to address the issue. #parenting #bullying #teach"
2114,103697467475894273,351243501,n,,,,,,Labor keen on bullying NT families not helping them ... Mills
2115,106763325672660992,339085284,n,,,,,,
2116,106773040200818688,23613124,n,,,,,,Bullying Affects a Quarter of High Schools Students http://t.co/ljpIOVG #bullying #cyberbullying
2117,106956868936663040,59247592,y,accusation,other,n,accuser,none,Jeff-you got done in by same shit that got ya last time.Hiding in the HOH-Acting like an arrogant bully & generally being clueless. #bb13
2118,108450668410445825,309563555,n,,,,,,i want to be bullied
2119,105769988979294208,186662483,y,denial,other,n,victim,none,
2120,108358119226228736,38385080,y,accusation,other,y,accuser,none,@Official_Reaper sorrrrryyy :( I did offer :P awh I'm sure you're bullying someone! :P x
2121,100247333060616192,157923720,n,,,,,,28 FOOT GREEN BULLY EXTENSIONER LADDER (Jackson) - $150  http://tinyurl.com/3czh74o
2122,108579798808408064,94912172,n,,,,,,"Bold, Stand, Strength, the issue of BULLYING.. #school & other..Truth & some inspiration #moms #kids #teach.. http://t.co/53rErJy. #dads"
2123,102743019345809408,354424814,n,,,,,,meu bulling é foda  #diganãoaobulling...
2124,105743370487468032,133055465,n,,,,,,
2125,105024863177146369,358894754,n,,,,,,"Haha ily ""Smexy Lexi"" (: haha Nickname that Jake & Noah made up for her... &lt;3 & mine is ""Ally The Bully?"" there nice haha -Alyssa..."
2126,105137625387642880,24003907,n,,,,,,We would like everyone that took pictures of Bully Ball to become temporary administrators so you can upload... http://t.co/47wqIvz
2127,106538405181136896,301085326,n,,,,,,"Today, 17 teens will take their own lives due to bullying. - › Reblog if you care. › › [] › › Always. › › If... http://t.co/xICneN3"
2128,104933045370494977,153694313,n,,,,,,@AqilaaahZ lol!!! Hahaha bully cute girl uh. Hahahahaha
2129,105080924324102145,278727749,y,report,other,n,reporter,none,
2130,108259542537732096,301550072,n,,,,,,
2131,109021381798281217,40288574,y,denial,other,n,bully,none,@mslatoya_G @mrguestlist I'm not a bully. I just say what most people won't because they are losers
2132,101617934790688768,342450496,y,report,other,n,reporter,none,
2133,103612323947753473,51581548,n,,,,,,I'm glad I'm not playing at TE the first game. I'm playing LG. Imma be bullying them boys around
2134,104366089848360960,342840889,n,,,,,,
2135,104584367820636161,228235146,n,,,,,,@justinbieber Stop bullying #HappyWorldHumanitarianDay #makeachange
2136,106210696106213376,187065083,n,,,,,,
2137,103727584336019456,261210859,n,,,,,,fazenu trabalho sobre o bullying ...
2138,104744523606925312,142722221,n,,,,,,http://t.co/xMP08vO spread the word (: Stop bullying...MY STORY...and advice (:
2139,105001040750972928,331908816,y,self-disclosure,other,n,victim,none,"@tommyjaysmith name in, you answer me even that was a portuguese tweet!! THAT'S BULLYING my english sucks I know..."
2140,105373446158041088,54960908,y,report,other,n,reporter,none,@JAELYNNSMOMMEE well I'll be. She a lil bully huh
2141,105477232008495104,216567955,n,,,,,,#NEWMUSIC SoufSide Shawt - Bedroom Bully ft. Jay Phean and Mr.Montgemory - http://t.co/2xnQJ45
2142,106415143033909250,344872042,n,,,,,,O Tavão sofre bulling!
2143,107259924148527104,108636275,n,,,,,,"The Mouthy Housewives are on Blogher. What do you think, would you save your kid from a bully or let them work it out? http://ow.ly/6ea6g"
2144,108685960203599873,221889118,n,,,,,,
2145,108688741975076864,151623410,n,,,,,,@_vivifc mas é asismq tem q ser .. hahahahah se nao nao gera humor nem bullying
2146,108710943210471424,54131659,n,,,,,,@okkydokii ky! Lo ga minta maaf sama gue?? Heh! Lo suka bully gue kan (*???*)
2147,108871687809941504,17154954,n,,,,,,"Some HITECHWatch: ""Policymaking and the bully pulpit"" http://ow.ly/6gInI"
2148,101505375429337089,24794870,y,accusation,other,n,accuser,none,
2149,103072974898343936,15210265,n,,,,,,???? - Wikipedia http://t.co/e2uHX9k ???????????????????????????????? BULLY ?????????????????????????
2150,105970511355461632,226488150,n,,,,,,
2151,106431518674665472,242088685,n,,,,,,US Now Trying to Bully #WikiLeaks for #Assange Info With Patriot Act http://t.co/ageZWsT
2152,106526088066371584,231392245,n,,,,,,"Mi profesor de D, de la Adm, Publica, le dio durisimo a los que sufren de bullying, que son maricas sin pantalones que no se pueden defender"
2153,100968051343769601,54637887,n,,,,,,"@joseilan O bullying não tem que ter tradução em portugues, nem em lingua nenhuma, tem é que deixar de existir!"
2154,104739479331405824,282529382,n,,,,,,
2155,107374928516485120,23501664,y,self-disclosure,other,n,defender,none,@LibbyAJorde so ryan gets bullied because his dads a soldier? Obviously it should be the other way around xxx
2156,108690298162520064,241716645,n,,,,,,
2157,102922429432737793,29865077,y,denial,cyberbullying,n,bully,none,@datyellaboi10 Cyber bully? LOL I'm not no damn bully. . .
2158,105172359736074240,56943199,n,,,,,,@djtop10 Brahma bully season Tenny
2159,106467916047859712,112318884,n,,,,,,
2160,106753439505199106,19432015,n,,,,,,The Bullying Ends Now http://t.co/2UQ7KLx
2161,108266490993709056,230260458,y,denial,other,n,bully,none,Far from a bully but i ain't a punk
2162,108884652823035904,35740310,n,,,,,,Bullying matutino cortesía de sus locutores favoritos @dnl @leos y él vendepiñas @elbaxter en #bdsf escuche sus consejos y pongalo a dieta
2163,101559511650799616,306731924,y,report,other,n,reporter,none,"@BigBro_TEAMDANI Brendon is far more of a bully, imo"
2164,101969032571387904,147148170,n,,,,,,Besok mau bully siapa lagi ya
2165,104333308233662464,314947966,n,,,,,,"Se você tem problemas com bullying, compre um cafeteira."
2166,106438860271136768,17229809,n,,,,,,"Karl to Ricky; ""It did feel like bullying when you hit me on the head with your mobile phone to see what sound it made"" #AnIdiotAbroad2"
2167,100633699992870912,314167354,y,self-disclosure,other,n,victim,none,My boyfriend is bullying me...  @TonyFlo7
2168,102524330189131776,172679155,y,report,other,n,reporter,none,my ma a bully .
2169,108046391527477248,327758643,y,self-disclosure,other,n,bully,none,LIKE IM NOT DA BADDEST BITCH BUT YEAH I WAS KINDA A BULLY N SCHOOL KMSL PUT SHIT I DEN GOT OLDER I ANIT PLAYIN NO GAMES#TEAMDOLLFACE
2170,108155929949765632,119014050,n,,,,,,#cpp ESCOLAS DE CUIABÁ ASSINAM TERMO DE COMPROMISSO CONTRA BULLYING (cpp) http://t.co/NXvngnT
2171,102832143855648768,89134622,n,,,,,,I liked a @YouTube video http://t.co/mma4IfF Fred Gets Bullied
2172,104381142295265280,224751983,n,,,,,,"Read my response to ""Já sofreu bullying na internet?"": http://t.co/hiBwkU0"
2173,106839123670736897,87483616,y,report,other,n,reporter,none,@liammckenna1 he isnt! he likes Jedward and darryn clearly hates them + is bullying towards them!
2174,107717524564615168,216173942,y,accusation,other,n,accuser,none,"""@liveyourdREEMs_: @pellenino @letsgetit_Nas smh yall some bully's""#imdonetho"
2175,103164758718545920,328134474,n,,,,,,
2176,105053640535969792,34643685,n,,,,,,@matheusfinger @jackmassalai EU VO CONTA PRA MINHA MÃE QUE VOCÊS TÃO DE BULLYING COMIGO
